
超级云TV,#genre#
CCTV-17农业农村,http://39.135.33.12/PLTV/77777777/224/3221226815/index.m3u8
CCTV-17农业农村,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctv17
贵州卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=gzws
贵州卫视,http://39.135.33.12/PLTV/77777777/224/3221226731/index.m3u8
贵州卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=gzws
辽宁卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=lnws
辽宁卫视,http://39.135.33.12/PLTV/77777777/224/3221226660/index.m3u8
辽宁卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=lnws
吉林卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=jlws
吉林卫视,http://39.135.33.12/PLTV/77777777/224/3221226566/index.m3u8
吉林卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=jlws
北京卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=bjws
北京卫视,http://39.135.33.12/PLTV/77777777/224/3221226670/index.m3u8
北京卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=bjws
浙江卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=zjws
浙江卫视,http://39.135.33.12/PLTV/77777777/224/3221226729/index.m3u8
浙江卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=zjws
江苏卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=jsws
江苏卫视,http://39.135.33.12/PLTV/77777777/224/3221226658/index.m3u8
江苏卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=jsws
山东卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=sdws
山东卫视,http://39.135.33.12/PLTV/77777777/224/3221226662/index.m3u8
山东卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=sdws
东方卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=dfws
东方卫视,http://39.135.33.12/PLTV/77777777/224/3221226652/index.m3u8
东方卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=dfws
重庆卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=zqws
重庆卫视,http://39.135.33.12/PLTV/77777777/224/3221226650/index.m3u8
重庆卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cqws
安徽卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=ahws
安徽卫视,http://39.135.33.12/PLTV/77777777/224/3221226673/index.m3u8
安徽卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=ahws
湖北卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=hbws
湖北卫视,http://39.135.33.12/PLTV/77777777/224/3221226723/index.m3u8
湖北卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=hbws
江西卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=jxws
江西卫视,http://39.135.33.12/PLTV/77777777/224/3221226607/index.m3u8
江西卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=jxws
广西卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=gxws
广西卫视,http://39.135.33.12/PLTV/77777777/224/3221226641/index.m3u8
广西卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=gxws
湖南卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=hnws
湖南卫视,http://39.135.33.12/PLTV/77777777/224/3221226725/index.m3u8
湖南卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=hunws
四川卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/ym/gzyx.php?id=scws
四川卫视,http://39.135.33.12/PLTV/77777777/224/3221226604/index.m3u8
四川卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=scws
